,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Class,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,File type,Blank,Blank,Blank,Blank,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Injection order,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Batch ID,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Average,Average,Stdev,Stdev
Alignment ID,Average Rt(min),Average Mz,Metabolite name,Adduct type,Post curation result,Fill %,MS/MS assigned,Reference RT,Reference m/z,Formula,Ontology,INCHIKEY,SMILES,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,Comment,Manually modified for quantification,Manually modified for annotation,Isotope tracking parent ID,Isotope tracking weight number,RT similarity,m/z similarity,Simple dot product,Weighted dot product,Reverse dot product,Matched peaks count,Matched peaks percentage,Total score,S/N average,Spectrum reference file name,MS1 isotopic spectrum,MS/MS spectrum,Bacto_Peptone_Media_Blank_1_Y-B1_1_3944,Bacto_Peptone_Media_Blank_2_Y-B2_1_3945,Bacto_Peptone_Media_Blank_3_Y-B3_1_3946,Bacto_Peptone_Media_Blank_4_Y-B4_1_3947,Pd_001srf_1_Y-D5_1_3852,Pd_001srf_2_Y-D6_1_3859,Pd_001srf_3_Y-D7_1_3866,Pd_001srf_4_Y-D8_1_3873,Pd_Bs_1_Y-B5_1_3848,Pd_Bs_2_Y-B6_1_3855,Pd_Bs_3_Y-B7_1_3862,Pd_Bs_4_Y-B8_1_3869,Pd_dd_1_Y-D1_1_3851,Pd_dd_2_Y-D2_1_3858,Pd_dd_3_Y-D3_1_3865,Pd_dd_4_Y-D4_1_3872,Pd_dPPS_1_Y-C5_1_3850,Pd_dPPS_2_Y-C6_1_3857,Pd_dPPS_3_Y-C7_1_3864,Pd_dPPS_4_Y-C8_1_3871,Pd_dSRF_1_Y-C1_1_3849,Pd_dSRF_2_Y-C2_1_3856,Pd_dSRF_3_Y-C3_1_3863,Pd_dSRF_4_Y-C4_1_3870,Pd_Pd_1_Y-B1_1_3847,Pd_Pd_2_Y-B2_1_3854,Pd_Pd_3_Y-B3_1_3861,Pd_Pd_4_Y-B4_1_3868,0,1,0,1
0,0.519,60.05606,Unknown,[M+CH3OH+H]+,null,0.14,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,0,0,0,null,null,null,null,null,null,null,2047.28,Bacto_Peptone_Media_Blank_1_Y-B1_1_3944,60.05606:3140 61.06072:0 62.06539:0,null,34839,30741,24462,31226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30316.87728,0,4310.138754,0
1,0.502,61.00723,Unknown,[M+Li]+,null,0.93,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,1,0,0,null,null,null,null,null,null,null,3235.87,Bacto_Peptone_Media_Blank_3_Y-B3_1_3946,61.00723:11364 62.01190:0 63.01657:0,null,92113,86420,89488,85581,37108,48040,43544,44569,31215,26032,38783,41001,30701,35968,33070,34179,33068,42899,42891,42399,41702,40448,31627,46871,36705,43074,41863,39061,88400.67439,38617.42953,2991.111861,5655.356802
2,13.669,61.00728,Unknown,[M+H]+,null,1,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,2,0,0,null,null,null,null,null,null,null,6010.21,Bacto_Peptone_Media_Blank_4_Y-B4_1_3947,61.00728:9978 62.01195:0 63.01662:0,null,174284,160404,163923,174681,134822,154108,145112,142688,163217,157449,146229,157606,139958,160168,167152,149630,150870,154171,162449,156164,147510,146882,152906,141758,173528,159574,171301,147516,168323.3414,153448.6312,7257.873663,9887.464038
3,12.223,62.9291,Unknown,[M+H]+,null,0.07,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,3,0,0,null,null,null,null,null,null,null,1178.06,Bacto_Peptone_Media_Blank_1_Y-B1_1_3944,62.92910:1740 63.93376:0 64.93843:0,null,24178,2336,1730,19898,5603,8277,0,871,19970,836,0,182,347,0,9050,0,4306,1694,12513,866,4409,13191,2997,12586,6069,8253,0,7124,12035.60492,4964.422521,11683.87261,5461.367602
4,12.421,62.9293,Unknown,[M+H]+,null,0.04,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,4,0,0,null,null,null,null,null,null,null,1829.88,Pd_001srf_1_Y-D5_1_3852,62.92930:1682 63.93397:0 64.93863:0,null,19743,28322,0,4135,47937,3159,5630,11920,19970,19115,6044,11456,4661,0,12576,3540,6887,6905,4928,0,16847,6723,20541,5227,5058,11422,1930,3301,13050.08116,9824.098638,13264.33243,10125.53232
5,0.58,63.99823,Unknown,[M+3Na]3+,null,0.18,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,5,0,0,null,null,null,null,null,null,null,1886.83,Pd_Bs_2_Y-B6_1_3855,63.99823:5218 65.00290:0 66.00757:0,null,0,0,0,0,5674,0,26553,10957,5106,33678,7509,12126,11960,13354,11742,6420,10947,7517,10687,16466,15269,16931,23534,11489,9102,11467,6391,11078,0,12331.53085,0,7274.532384
6,14.462,63.99838,Unknown,[M+H]+,null,0.07,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,6,0,0,null,null,null,null,null,null,null,1353.75,Pd_dd_2_Y-D2_1_3858,63.99838:1848 65.00305:0 66.00771:0,null,0,0,0,0,14221,0,11342,174,0,0,0,0,22585,30258,0,5757,177,13234,0,0,3124,13379,0,11711,5718,733,231,0,0,5526.792273,0,8316.908711
