formulaRank,molecularFormula,adduct,precursorFormula,NPC#pathway,NPC#pathway Probability,NPC#superclass,NPC#superclass Probability,NPC#class,NPC#class Probability,ClassyFire#superclass,ClassyFire#superclass probability,ClassyFire#class,ClassyFire#class Probability,ClassyFire#subclass,ClassyFire#subclass Probability,ClassyFire#level 5,ClassyFire#level 5 Probability,ClassyFire#most specific class,ClassyFire#most specific class Probability,ClassyFire#all classifications,ionMass,retentionTimeInSeconds,retentionTimeInMinutes,formulaId,alignedFeatureId,mappingFeatureId,overallFeatureQuality
1,C3H9MgNO5,[M - H2O + H]+,C3H8MgNO4+,Carbohydrates,0.956,Aminosugars and aminoglycosides,0.812,Aminosugars,0.886,Organic oxygen compounds,0.999,Organooxygen compounds,0.988,Carbohydrates and carbohydrate conjugates,0.574,Sugar alcohols,0.54,Sugar alcohols,0.54,"Organic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Secondary alcohols; 1,2-aminoalcohols; Sugar alcohols; Polyols; Amines; Alkanolamines; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",146.029,24,0.401,738708212210071222,738707844860335400,1,
1,Ca3Cl2FHMgNO2S,[M + K]+,Ca3Cl2FHKMgNO2S+,Alkaloids,0.103,Oligopeptides,0.025,Halogenated fatty acids,0.027,Organic acids and derivatives,0.883,Organic sulfonic acids and derivatives,0.795,Organosulfonic acids and derivatives,0.79,,,Organosulfonic acids and derivatives,0.79,Organic compounds; Organosulfur compounds; Organic acids and derivatives; Organohalogen compounds; Organosulfonic acids and derivatives; Organoarsenic compounds; Organometallic compounds; Sulfonyls; Organometalloid compounds; Organochlorides; Organofluorides; Alkyl halides; Organic salts; Organic oxides; Organic metalloid salts; Organic metal salts; Hydrocarbon derivatives; Sulfur-containing organoarsenic compounds; Oxygen-containing organoarsenic compounds; Organic sulfonic acids and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,350.743,29,0.484,738708234234372424,738707845309125978,2,
1,C46H59N3O8,[M + H]+,C46H60N3O8+,Polyketides,0.976,Oligopeptides,0.995,Depsipeptides,0.994,Organic acids and derivatives,1,Peptidomimetics,0.941,Depsipeptides,0.919,Cyclic depsipeptides,0.89,Cyclic depsipeptides,0.89,"Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Lactones; Alpha amino acids and derivatives; Macrolactams; Macrolides and analogues; Lactams; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Alpha amino acid esters; Carboxylic acid amides; Carboxylic acid derivatives; Carboxylic acid esters; Tertiary carboxylic acid amides; Peptidomimetics; Carbonyl compounds; Macrolide lactams; Depsipeptides; Tricarboxylic acids and derivatives; Cyclic depsipeptides; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Hydrocarbon derivatives; Valine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",782.441,29,0.484,738708239837967678,738707845363651935,3,
1,C2H2BrCl3O4S3,[M + K]+,C2H2BrCl3KO4S3+,Fatty acids,0.711,Fatty acyls,0.148,Halogenated fatty acids,0.099,Organic acids and derivatives,0.975,Organic sulfonic acids and derivatives,0.926,Organosulfonic acids and derivatives,0.926,,,Organosulfonic acids and derivatives,0.926,Organic compounds; Organosulfur compounds; Organic acids and derivatives; Organohalogen compounds; Organosulfonic acids and derivatives; Sulfonyl halides; Alkyl chlorides; Sulfonyls; Organochlorides; Alkyl halides; Organic oxides; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organic oxygen compounds; Chemical entities,408.701,29,0.488,738708226860780986,738707845413983588,4,
1,C3H2BrCl5O2S2,[M + Na]+,C3H2BrCl5NaO2S2+,Fatty acids,0.854,Fatty acyls,0.228,Halogenated fatty acids,0.597,Organosulfur compounds,0.834,Sulfenyl compounds,0.552,,,,,Sulfenyl compounds,0.552,Organic compounds; Organosulfur compounds; Organohalogen compounds; Alkyl chlorides; Organochlorides; Alkyl halides; Sulfenyl compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities,410.698,29,0.488,738708232074304326,738707845451732329,5,
1,C4H5Br3Cl2O4S2,[M + K]+,C4H5Br3Cl2KO4S2+,Fatty acids,0.902,Fatty Acids and Conjugates,0.208,Halogenated fatty acids,0.541,Organic acids and derivatives,0.732,Organic sulfonic acids and derivatives,0.663,Organosulfonic acids and derivatives,0.663,,,Organosulfonic acids and derivatives,0.663,Organic compounds; Organosulfur compounds; Organic acids and derivatives; Organohalogen compounds; Organosulfonic acids and derivatives; Alkyl bromides; Alkyl chlorides; Sulfonyls; Organobromides; Organochlorides; Alkyl halides; Organic oxides; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organic oxygen compounds; Chemical entities,526.615,29,0.488,738708228555280379,738707845489481070,6,
1,C35H72NO10P,[M + H]+,C35H73NO10P+,Fatty acids,0.999,Glycerophospholipids,0.999,Oxidized glycerophospholipids,0.844,Lipids and lipid-like molecules,0.978,Glycerophospholipids,0.993,Glycerophosphocholines,0.944,Phosphatidylcholines,0.895,Phosphatidylcholines,0.895,Organic compounds; Lipids and lipid-like molecules; Glycerophospholipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Organic phosphoric acids and derivatives; Phosphate esters; Quaternary ammonium salts; Cholines; Carboxylic acid derivatives; Carboxylic acid esters; Phosphocholines; Phosphatidylcholines; Carbonyl compounds; Glycerophosphocholines; Amines; Alkyl phosphates; Dialkyl phosphates; Organic cations; Organic salts; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Tetraalkylammonium salts; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,698.497,29,0.489,738708227183742466,738707845527229811,7,
1,C37H55N9O12,[M + H]+,C37H56N9O12+,Amino acids and Peptides,0.759,Oligopeptides,0.999,Lipopeptides,0.817,Organic acids and derivatives,1,Peptidomimetics,0.885,Depsipeptides,0.858,Cyclic depsipeptides,0.85,Cyclic depsipeptides,0.85,"Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Lactones; Alpha amino acids and derivatives; Macrolactams; Alcohols and polyols; Lactams; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Alpha amino acid esters; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Carboxylic acid esters; Secondary alcohols; Secondary carboxylic acid amides; Peptidomimetics; Carbonyl compounds; Macrolide lactams; Depsipeptides; Cyclic depsipeptides; Alpha amino acid amides; Primary amines; Fatty Acyls; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Valine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",818.407,29,0.489,738708243159858968,738707845615310205,8,
1,C43H63N3O5,[M + H]+,C43H64N3O5+,Amino acids and Peptides,0.481,Oligopeptides,0.81,Depsipeptides,0.232,Organic acids and derivatives,1,Carboxylic acids and derivatives,0.999,"Amino acids, peptides, and analogues",0.996,Amino acids and derivatives,0.996,Alpha amino acid esters,0.902,"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty acid esters; Fatty amides; Amino acids and derivatives; Alpha amino acid esters; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acid esters; Secondary carboxylic acid amides; Tertiary carboxylic acid amides; Peptidomimetics; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Valine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",702.489,30,0.493,738708229004071123,738707845573367160,9,
1,C10H13NO3,[M + H]+,C10H14NO3+,Alkaloids,0.974,Tryptophan alkaloids,0.346,Simple indole alkaloids,0.643,Organoheterocyclic compounds,0.838,Pyrroles,0.699,Pyrrole carboxylic acids and derivatives,0.581,,,Pyrrole carboxylic acids and derivatives,0.581,Organic compounds; Organoheterocyclic compounds; Pyrroles; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Substituted pyrroles; Benzenoids; Pyrrole carboxylic acids and derivatives; Methyl esters; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,196.096,33,0.548,738708216182079648,738707845829219739,10,
1,C9H11NO3,[M + H]+,C9H12NO3+,Amino acids and Peptides,1,Small peptides,1,Aminoacids,1,Organic acids and derivatives,1,Carboxylic acids and derivatives,1,"Amino acids, peptides, and analogues",0.998,Amino acids and derivatives,0.997,Tyrosine and derivatives,0.812,"Organic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Phenols; Phenethylamines; Amphetamines and derivatives; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Benzene and substituted derivatives; Alpha amino acids; Benzenoids; Amines; Primary amines; Phenylpropanoic acids; Aralkylamines; Organic oxides; Hydrocarbon derivatives; Amino acids; Tyrosine and derivatives; Phenylalanine and derivatives; Organopnictogen compounds; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Organic nitrogen compounds; Chemical entities",182.081,33,0.548,738708216278548699,738707845862774176,11,
1,C4H7CaMgNO4,[M + H]+,C4H8CaMgNO4+,Amino acids and Peptides,0.883,Small peptides,0.918,Aminoacids,0.948,Organic acids and derivatives,0.989,Carboxylic acids and derivatives,0.98,"Amino acids, peptides, and analogues",0.875,Amino acids and derivatives,0.874,Alpha amino acids,0.564,"Organic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Alpha amino acids; Amines; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",197.991,36,0.599,738708246615966529,738707845934077354,12,
1,C10H14F3N2O3,[M + H]+,C10H15F3N2O3+,Amino acids and Peptides,0.492,Small peptides,0.595,Aminoacids,0.422,Organic acids and derivatives,0.87,Carboxylic acids and derivatives,0.815,"Amino acids, peptides, and analogues",0.764,Amino acids and derivatives,0.763,Alpha amino acids and derivatives,0.581,"Organic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Alkyl fluorides; Monocarboxylic acids and derivatives; Organofluorides; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Amines; Primary amines; Alkyl halides; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",268.103,38,0.633,738708233324208104,738707845976020399,13,
1,C24H28N4O7S,[M + H]+,C24H29N4O7S+,Amino acids and Peptides,0.817,Oligopeptides,0.67,Cyclic peptides,0.1,Organic acids and derivatives,0.996,Carboxylic acids and derivatives,0.992,"Amino acids, peptides, and analogues",0.977,Peptides,0.852,Oligopeptides,0.531,"Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Phenols; Phenethylamines; Amphetamines and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Peptides; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Thioethers; Carboxylic acids; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Alpha amino acid amides; N-acyl-alpha amino acids; Benzenoids; Amines; Sulfenyl compounds; Dialkylthioethers; Fatty Acyls; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Amino acids; Phenylalanine and derivatives; Organopnictogen compounds; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Organic nitrogen compounds; Oligopeptides; Chemical entities",517.176,38,0.633,738708286948410406,738707846013769140,14,
1,C21H26N6O9S,[M + H]+,C21H27N6O9S+,Carbohydrates,0.821,Nucleosides,0.734,Purine nucleosides,0.622,Organic acids and derivatives,0.992,Carboxylic acids and derivatives,0.969,"Amino acids, peptides, and analogues",0.955,Peptides,0.659,Peptides,0.659,"Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Pyrimidines and pyrimidine derivatives; Alcohols and polyols; Phenols; Purines and purine derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Nucleosides, nucleotides, and analogues; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Peptides; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Thioethers; Carboxylic acids; Diazines; Pentoses; Monosaccharides; Secondary alcohols; Secondary carboxylic acid amides; Imidazopyrimidines; Carbonyl compounds; Glycosyl compounds; Glycosylamines; Benzene and substituted derivatives; Alpha amino acid amides; N-acyl-alpha amino acids; Alpha amino acids; Benzenoids; Amines; Primary amines; Tetrahydrofurans; Sulfenyl compounds; Dialkylthioethers; Fatty Acyls; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Amino acids; 5'-deoxyribonucleosides; Organopnictogen compounds; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Organic nitrogen compounds; Chemical entities",539.157,38,0.637,738708356171215496,738707846055712185,15,
1,C9H11NO,[M + H]+,C9H12NO+,Alkaloids,0.94,Tryptophan alkaloids,0.483,Pyridine alkaloids,0.341,Benzenoids,0.926,Benzene and substituted derivatives,0.693,,,,,Benzene and substituted derivatives,0.693,Organic compounds; Ketones; Organonitrogen compounds; Organooxygen compounds; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,150.091,41,0.684,738708214999285105,738707846127015363,16,
1,C5H6N2O2,[M + H]+,C5H7N2O2+,Alkaloids,0.724,Nicotinic acid alkaloids,0.177,Pyridine alkaloids,0.175,Organoheterocyclic compounds,0.985,Diazines,0.486,Pyrimidines and pyrimidine derivatives,0.525,Pyrimidones,0.547,Pyrimidones,0.547,Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Pyrimidones; Organooxygen compounds; Primary carboxylic acid amides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,127.05,41,0.69,738708227557035630,738707846160569800,17,
1,C11H18N2O4,[M + H]+,C11H19N2O4+,Amino acids and Peptides,0.952,Small peptides,0.966,Aminoacids,0.538,Organic acids and derivatives,0.998,Carboxylic acids and derivatives,0.994,"Amino acids, peptides, and analogues",0.96,Amino acids and derivatives,0.96,Alpha amino acids,0.647,"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Dicarboxylic acids and derivatives; Amino acids and derivatives; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; Carboxylic acids; Carbonyl compounds; Alpha amino acids; Amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",243.133,56,0.927,738708216697979346,738707846223484370,18,
